Population: 400
Percentage of population that is vaccinated: 0.9
Virus Name: Ebola
Virus Mortality Rate: 0.7
Virus Reproduction Rate: 0.25
Time step 0 ended, beginning 1
0 didn't infect 146 because vaccinated 
0 didn't infect 107 because vaccinated 
0 didn't infect 220 because vaccinated 
0 didn't infect 310 because vaccinated 
0 didn't infect 335 because vaccinated 
0 didn't infect 164 because vaccinated 
0 didn't infect 238 because vaccinated 
0 didn't infect 226 because vaccinated 
0 didn't infect 226 because vaccinated 
0 didn't infect 345 because vaccinated 
0 didn't infect 109 because vaccinated 
0 didn't infect 261 because vaccinated 
0 didn't infect 242 because vaccinated 
0 didn't infect 376 because vaccinated 
0 didn't infect 86 because vaccinated 
0 didn't infect 337 because vaccinated 
0 didn't infect 43 because vaccinated 
0 didn't infect 145 because vaccinated 
0 didn't infect 263 because vaccinated 
0 didn't infect 339 because vaccinated 
0 didn't infect 324 because vaccinated 
0 didn't infect 47 because vaccinated 
0 didn't infect 384 because vaccinated 
0 didn't infect 120 because vaccinated 
0 didn't infect 344 because vaccinated 
0 didn't infect 158 because vaccinated 
0 didn't infect 115 because vaccinated 
0 infects 101 
0 didn't infect 23 because vaccinated 
0 didn't infect 125 because vaccinated 
0 didn't infect 243 because vaccinated 
0 didn't infect 312 because vaccinated 
0 infects 393 
0 didn't infect 212 because vaccinated 
0 didn't infect 322 because vaccinated 
0 didn't infect 294 because vaccinated 
0 didn't infect 99 because vaccinated 
0 didn't infect 367 because vaccinated 
0 didn't infect 356 because vaccinated 
0 didn't infect 196 because vaccinated 
0 didn't infect 253 because vaccinated 
0 didn't infect 204 because vaccinated 
0 didn't infect 124 because vaccinated 
0 didn't infect 75 because vaccinated 
0 didn't infect 335 because vaccinated 
0 didn't infect 352 because vaccinated 
0 didn't infect 2 because already sick 
0 didn't infect 384 because vaccinated 
0 didn't infect 394 because vaccinated 
0 didn't infect 54 because vaccinated 
0 didn't infect 398 because vaccinated 
0 didn't infect 217 because vaccinated 
0 didn't infect 112 because vaccinated 
0 didn't infect 90 because vaccinated 
0 didn't infect 356 because vaccinated 
0 didn't infect 265 because vaccinated 
0 didn't infect 237 because vaccinated 
0 didn't infect 25 because vaccinated 
0 didn't infect 285 because vaccinated 
0 didn't infect 127 because vaccinated 
0 didn't infect 62 because vaccinated 
0 didn't infect 233 because vaccinated 
0 didn't infect 68 because vaccinated 
0 didn't infect 237 because vaccinated 
0 didn't infect 341 because vaccinated 
0 didn't infect 271 because vaccinated 
0 didn't infect 286 because vaccinated 
0 didn't infect 304 because vaccinated 
0 didn't infect 162 because vaccinated 
0 didn't infect 386 because vaccinated 
0 didn't infect 226 because vaccinated 
0 didn't infect 313 because vaccinated 
0 didn't infect 368 because vaccinated 
0 didn't infect 258 because vaccinated 
0 didn't infect 218 because vaccinated 
0 didn't infect 280 because vaccinated 
0 didn't infect 228 because vaccinated 
0 didn't infect 81 because vaccinated 
0 didn't infect 243 because vaccinated 
0 didn't infect 230 because vaccinated 
0 didn't infect 132 because vaccinated 
0 didn't infect 326 because vaccinated 
0 didn't infect 398 because vaccinated 
0 didn't infect 266 because vaccinated 
0 didn't infect 248 because vaccinated 
0 didn't infect 140 because vaccinated 
0 infects 225 
0 didn't infect 146 because vaccinated 
0 didn't infect 120 because vaccinated 
